fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2010-11-15,FINCA Microfinance Holdings,Summary of Proposed Investment (Disclosure Policy 2006),29683,https://disclosures.ifc.org/project-detail/SPI/29683/finca-microfinance-holdings,Equity,FINCA MICROFINANCE HOLDING COMPANY LLC,World Region,WLD,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,0.0,0.0,0.0,35.0,35.0,99
2010-10-20,RCBC Equity,Summary of Proposed Investment (Disclosure Policy 2006),30235,https://disclosures.ifc.org/project-detail/SPI/30235/rcbc-equity,Equity,RIZAL COMMERCIAL BANKING CORPORATION,Philippines,PHL,Financial Institutions,FI,"Global Industry, Financial Markets",Active,0.0,0.0,0.0,48.31,48.31,PH
2010-09-14,O3B Networks Limited,Summary of Proposed Investment (Disclosure Policy 2006),28106,https://disclosures.ifc.org/project-detail/SPI/28106/o3b-networks-limited,Loan,O3B NETWORKS LTD,World Region,WLD,"Telecommunications, Media, and Technology",B,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,70.0,0.0,70.0,99
2010-07-07,BDO SEF,Summary of Proposed Investment (Disclosure Policy 2006),29151,https://disclosures.ifc.org/project-detail/SPI/29151/bdo-sef,Guarantee,"BDO UNIBANK, INC.",Philippines,PHL,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,0.0,22.81,0.0,0.0,22.81,PH
2010-06-08,Mindoro Resources Ltd,Summary of Proposed Investment (Disclosure Policy 2006),26987,https://disclosures.ifc.org/project-detail/SPI/26987/mindoro-resources-ltd,Equity,Mindoro Resources Ltd,Philippines,PHL,"Oil, Gas, and Mining",B,Energy & Mining - Global Infra,Completed,0.0,0.0,0.0,9.53,9.53,PH
2010-05-19,Energy Dev II,Summary of Proposed Investment (Disclosure Policy 2006),29404,https://disclosures.ifc.org/project-detail/SPI/29404/energy-dev-ii,Loan,ENERGY DEVELOPMENT CORPORATION,Philippines,PHL,Infrastructure,B,Gbl Infrastructure & Natural Resources,Active,0.0,0.0,75.0,0.0,75.0,PH
2010-05-14,Global Trade Supplier Finance,Summary of Proposed Investment (Disclosure Policy 2006),28723,https://disclosures.ifc.org/project-detail/SPI/28723/global-trade-supplier-finance,Guarantee,GTSF,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Pending Signing,0.0,500.0,500.0,0.0,1000.0,99
2010-04-28,Global Warehouse Finance Program,Summary of Proposed Investment (Disclosure Policy 2006),28749,https://disclosures.ifc.org/project-detail/SPI/28749/global-warehouse-finance-program,Guarantee,GWFP,World Region,WLD,Financial Institutions,C,Banking and Capital Markets,Pending Signing,0.0,50.0,150.0,0.0,200.0,99
2010-03-18,PCH Stand-By,Summary of Proposed Investment (Disclosure Policy 2006),28974,https://disclosures.ifc.org/project-detail/SPI/28974/pch-stand-by,Loan,ProCredit Holding AG & Co.KGaA,World Region,WLD,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,0.0,0.0,30.73,0.0,30.73,99
2010-02-10,CF BDO Unibank,Summary of Proposed Investment (Disclosure Policy 2006),29330,https://disclosures.ifc.org/project-detail/SPI/29330/cf-bdo-unibank,Equity,"BDO UNIBANK, INC.",Philippines,PHL,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Active,0.0,0.0,0.0,150.0,150.0,PH
